TelCon,Content code,start,end,duration,content,topic
F33,p,694.209,694.657,0.448,cF,compass
F33,s,694.657,695.554,0.897,silence,compass
F33,p,695.554,697.513,1.959,rM,compass
F33,s,697.513,697.821,0.308,silence,compass
F33,p,697.821,697.989,0.168,cF,compass
F33,p,697.989,699.213,1.224,rM,compass
F33,s,699.213,700.577,1.364,silence,compass
F33,p,700.577,703.634,3.057,rM,chocolate
F33,p,703.634,703.937,0.303,cF,chocolate
F33,pf,703.937,704.358,0.421,cF filler_rM,chocolate
F33,p,704.358,705.432,1.074,cF,chocolate
F33,s,705.432,706.282,0.85,silence,chocolate
F33,p,706.282,710.509,4.227,rM,chocolate
F33,l,710.509,711.943,1.434,laughter_cF,chocolate
F33,p,711.943,717.149,5.206,rM,chocolate
F33,pbc,717.149,717.448,0.299,bc_cF rM,chocolate
F33,p,717.448,721.849,4.401,rM,chocolate
F33,pbc,721.849,722.176,0.327,bc_cF rM,chocolate
F33,p,722.176,724.659,2.483,rM,chocolate
F33,p,724.659,726.108,1.449,cF,chocolate
F33,s,726.108,726.715,0.607,silence,chocolate
F33,p,726.715,731.03,4.315,rM,chocolate
F33,s,731.03,731.16,0.13,silence,chocolate
F33,p,731.16,731.571,0.411,cF,chocolate
F33,s,731.571,732.272,0.701,silence,chocolate
F33,p,732.272,732.543,0.271,rM,chocolate
F33,s,732.543,735.675,3.132,silence,chocolate
F33,f,735.675,735.835,0.16,filler_cF,other
F33,pf,735.835,736.372,0.537,filler_cF rM,other
F33,s,736.372,737.629,1.257,silence,other
F33,p,737.629,740.638,3.009,rM,other
F33,s,740.638,742.301,1.663,silence,other
F33,p,742.301,744.833,2.532,cF,other
F33,pp,744.833,745.477,0.644,cF rM,other
F33,p,745.477,745.66,0.183,rM,other
F33,s,745.66,746.669,1.009,silence,other
F33,p,746.669,747.042,0.373,rM,other
F33,s,747.042,748.668,1.626,silence,other
F33,p,748.668,749.958,1.29,rM,other
F33,pp,749.958,750.032,0.074,cF rM,other
F33,p,750.032,750.518,0.486,cF,other
F33,s,750.518,751.153,0.635,silence,other
F33,p,751.153,751.378,0.225,rM,other
F33,end,751.378,753.863,2.485,end,end
F34,s,0,1.47,1.47,silence,other
F34,p,1.47,1.754,0.284,rF,other
F34,s,1.754,2.513,0.759,silence,other
F34,p,2.513,3.141,0.628,cF,other
F34,s,3.141,3.687,0.546,silence,other
F34,p,3.687,4.192,0.505,rF,other
F34,s,4.192,4.57,0.378,silence,other
F34,p,4.57,5.714,1.144,cF,other
F34,f,5.714,6.092,0.378,filler_cF,steel_wool
F34,p,6.092,6.841,0.749,cF,steel_wool
F34,f,6.841,7.404,0.563,filler_cF,steel_wool
